Quarter of Date,Variant,Cases
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,9
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,71
2021 Q3,Alpha,0
2021 Q3,Alpha,229
2021 Q3,Alpha,6
2021 Q3,Alpha,3
2021 Q3,Alpha,1
2021 Q3,Alpha,7
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,29
2021 Q3,Alpha,0
2021 Q3,Alpha,9
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,2
2021 Q3,Alpha,67
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,54
2021 Q3,Alpha,0
2021 Q3,Alpha,6
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,0
2021 Q3,Alpha,8
2021 Q3,Alpha,1
2021 Q3,Alpha,20
2021 Q3,Alpha,1
2021 Q3,Alpha,1406
2021 Q3,Alpha,1
2021 Q3,Alpha,1
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,16
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,13
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,11
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,41
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,27
2021 Q3,Alpha,2
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,40
2021 Q3,Alpha,4
2021 Q3,Alpha,1
2021 Q3,Alpha,11
2021 Q3,Alpha,12
2021 Q3,Alpha,45
2021 Q3,Alpha,0
2021 Q3,Alpha,419
2021 Q3,Alpha,0
2021 Q3,Alpha,16
2021 Q3,Alpha,259
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,4
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,6
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,1
2021 Q3,Alpha,56
2021 Q3,Alpha,0
2021 Q3,Alpha,95
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,5
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,21
2021 Q3,Alpha,0
2021 Q3,Alpha,31
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,10
2021 Q3,Alpha,0
2021 Q3,Alpha,427
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,7
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,2
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,7
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,2
2021 Q3,Alpha,3
2021 Q3,Alpha,9
2021 Q3,Alpha,5
2021 Q3,Alpha,0
2021 Q3,Alpha,2
2021 Q3,Alpha,7
2021 Q3,Alpha,11
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,22
2021 Q3,Alpha,78
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,75
2021 Q3,Alpha,0
2021 Q3,Alpha,38
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,2
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,1
2021 Q3,Alpha,7
2021 Q3,Alpha,0
2021 Q3,Alpha,10
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,3
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,4
2021 Q3,Alpha,59
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2021 Q3,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
2020 Q2,Alpha,0
