Date,Location,Variant,Num Sequences,Num Sequences Total,Perc Sequences
7/12/2021,Norway,B.1.160,0,867,0
7/12/2021,Norway,B.1.177,0,867,0
7/12/2021,Norway,B.1.221,0,867,0
7/12/2021,Norway,B.1.258,0,867,0
7/12/2021,Norway,B.1.367,0,867,0
7/12/2021,Norway,B.1.620,0,867,0
7/12/2021,Norway,Beta,1,867,0.12
7/12/2021,Norway,Delta,492,867,56.75
7/12/2021,Norway,Epsilon,0,867,0
7/12/2021,Norway,Eta,0,867,0
7/12/2021,Norway,Gamma,1,867,0.12
7/12/2021,Norway,Iota,0,867,0
7/12/2021,Norway,Kappa,0,867,0
7/12/2021,Norway,Lambda,1,867,0.12
7/12/2021,Norway,Mu,0,867,0
7/12/2021,Norway,Omicron,0,867,0
7/12/2021,Norway,S:677H.Robin1,0,867,0
7/12/2021,Norway,S:677P.Pelican,0,867,0
7/12/2021,Norway,others,6,867,0.68
7/12/2021,Norway,non_who,6,867,0.68
7/26/2021,Norway,Alpha,118,892,13.23
7/26/2021,Norway,B.1.1.277,0,892,0
7/26/2021,Norway,B.1.1.302,0,892,0
7/26/2021,Norway,B.1.1.519,0,892,0
7/26/2021,Norway,B.1.160,5,892,0.56
7/26/2021,Norway,B.1.177,2,892,0.22
7/26/2021,Norway,B.1.221,0,892,0
7/26/2021,Norway,B.1.258,1,892,0.11
7/26/2021,Norway,B.1.367,0,892,0
7/26/2021,Norway,B.1.620,0,892,0
7/26/2021,Norway,Beta,2,892,0.22
7/26/2021,Norway,Delta,760,892,85.2
7/26/2021,Norway,Epsilon,0,892,0
7/26/2021,Norway,Eta,0,892,0
7/26/2021,Norway,Gamma,2,892,0.22
7/26/2021,Norway,Iota,0,892,0
7/26/2021,Norway,Kappa,0,892,0
7/26/2021,Norway,Lambda,0,892,0
7/26/2021,Norway,Mu,0,892,0
7/26/2021,Norway,Omicron,0,892,0
7/26/2021,Norway,S:677H.Robin1,0,892,0
7/26/2021,Norway,S:677P.Pelican,0,892,0
7/26/2021,Norway,others,2,892,0.24
7/26/2021,Norway,non_who,10,892,1.13
8/9/2021,Norway,Alpha,72,1320,5.45
8/9/2021,Norway,B.1.1.277,0,1320,0
8/9/2021,Norway,B.1.1.302,0,1320,0
8/9/2021,Norway,B.1.1.519,0,1320,0
8/9/2021,Norway,B.1.160,0,1320,0
8/9/2021,Norway,B.1.177,0,1320,0
8/9/2021,Norway,B.1.221,0,1320,0
8/9/2021,Norway,B.1.258,0,1320,0
8/9/2021,Norway,B.1.367,0,1320,0
8/9/2021,Norway,B.1.620,0,1320,0
8/9/2021,Norway,Beta,0,1320,0
8/9/2021,Norway,Delta,1247,1320,94.47
8/9/2021,Norway,Epsilon,0,1320,0
8/9/2021,Norway,Eta,0,1320,0
8/9/2021,Norway,Gamma,1,1320,0.08
8/9/2021,Norway,Iota,0,1320,0
5/11/2020,Ghana,Alpha,0,1,0
5/11/2020,Greece,Alpha,0,8,0
5/11/2020,Hong Kong,Alpha,0,3,0
5/11/2020,Hungary,Alpha,0,7,0
5/11/2020,India,Alpha,0,471,0
5/11/2020,Indonesia,Alpha,0,11,0
5/11/2020,Iran,Alpha,0,12,0
5/11/2020,Ireland,Alpha,0,115,0
5/11/2020,Israel,Alpha,0,8,0
5/11/2020,Italy,Alpha,0,128,0
5/11/2020,Japan,Alpha,0,415,0
5/11/2020,Kazakhstan,Alpha,0,2,0
5/11/2020,Kenya,Alpha,0,76,0
5/11/2020,Kosovo,Alpha,0,1,0
5/11/2020,Latvia,Alpha,0,19,0
5/11/2020,Luxembourg,Alpha,0,6,0
5/11/2020,Madagascar,Alpha,0,13,0
5/11/2020,Malaysia,Alpha,0,7,0
5/11/2020,Maldives,Alpha,0,1,0
5/11/2020,Mexico,Alpha,0,208,0
5/11/2020,Morocco,Alpha,0,25,0
5/11/2020,Netherlands,Alpha,0,214,0
5/11/2020,New Zealand,Alpha,0,8,0
5/11/2020,Nigeria,Alpha,0,26,0
5/11/2020,Norway,Alpha,0,28,0
5/11/2020,Oman,Alpha,0,22,0
5/11/2020,Pakistan,Alpha,0,3,0
5/11/2020,Paraguay,Alpha,0,5,0
5/11/2020,Peru,Alpha,0,49,0
5/11/2020,Poland,Alpha,0,59,0
5/11/2020,Portugal,Alpha,0,26,0
5/11/2020,Qatar,Alpha,0,172,0
5/11/2020,Romania,Alpha,0,33,0
5/11/2020,Russia,Alpha,0,65,0
5/11/2020,Serbia,Alpha,0,30,0
5/11/2020,Singapore,Alpha,0,112,0
5/11/2020,Slovakia,Alpha,0,3,0
5/11/2020,Slovenia,Alpha,0,4,0
5/11/2020,South Africa,Alpha,0,135,0
5/11/2020,South Korea,Alpha,0,48,0
5/11/2020,Spain,Alpha,0,180,0
5/11/2020,Sri Lanka,Alpha,0,1,0
5/11/2020,Suriname,Alpha,0,1,0
5/11/2020,Sweden,Alpha,0,52,0
5/11/2020,Switzerland,Alpha,0,106,0
5/11/2020,Turkey,Alpha,0,95,0
5/11/2020,Uganda,Alpha,0,27,0
5/11/2020,Ukraine,Alpha,0,2,0
5/11/2020,United Arab Emirates,Alpha,0,133,0
5/11/2020,United Kingdom,Alpha,0,4753,0
5/11/2020,United States,Alpha,0,5804,0
5/11/2020,Uruguay,Alpha,0,3,0
5/11/2020,Zambia,Alpha,0,4,0
5/11/2020,Zimbabwe,Alpha,0,35,0
5/25/2020,Argentina,Alpha,0,167,0
5/25/2020,Australia,Alpha,0,103,0
5/25/2020,Austria,Alpha,0,41,0
5/25/2020,Bangladesh,Alpha,0,168,0
5/25/2020,Belgium,Alpha,0,67,0
5/25/2020,Brazil,Alpha,0,183,0
5/25/2020,Bulgaria,Alpha,0,3,0
5/25/2020,Cameroon,Alpha,0,8,0
5/25/2020,Canada,Alpha,0,597,0
5/25/2020,Chile,Alpha,0,84,0
5/25/2020,Colombia,Alpha,0,2,0
5/25/2020,Cyprus,Alpha,0,20,0
5/25/2020,Czechia,Alpha,0,9,0
5/25/2020,Denmark,Alpha,0,136,0
5/25/2020,Djibouti,Alpha,0,2,0
5/25/2020,Ecuador,Alpha,0,4,0
5/25/2020,Egypt,Alpha,0,22,0
5/25/2020,Finland,Alpha,0,51,0
5/25/2020,France,Alpha,0,64,0
5/25/2020,Gambia,Alpha,0,14,0
5/25/2020,Germany,Alpha,0,94,0
5/25/2020,Ghana,Alpha,0,18,0
5/25/2020,Greece,Alpha,0,8,0
5/25/2020,Guatemala,Alpha,0,3,0
5/25/2020,Hong Kong,Alpha,0,4,0
5/25/2020,Hungary,Alpha,0,5,0
5/25/2020,India,Alpha,0,649,0
5/25/2020,Indonesia,Alpha,0,13,0
5/25/2020,Iran,Alpha,0,8,0
5/25/2020,Ireland,Alpha,0,43,0
5/25/2020,Israel,Alpha,0,4,0
5/25/2020,Italy,Alpha,0,51,0
5/25/2020,Japan,Alpha,0,116,0
5/25/2020,Kazakhstan,Alpha,0,1,0
5/25/2020,Kenya,Alpha,0,125,0
5/25/2020,Lithuania,Alpha,0,13,0
5/25/2020,Luxembourg,Alpha,0,12,0
5/25/2020,Madagascar,Alpha,0,14,0
5/25/2020,Malaysia,Alpha,0,14,0
5/25/2020,Maldives,Alpha,0,1,0
5/25/2020,Mexico,Alpha,0,264,0
5/25/2020,Morocco,Alpha,0,3,0
5/25/2020,Netherlands,Alpha,0,226,0
5/25/2020,New Zealand,Alpha,0,1,0
5/25/2020,Nigeria,Alpha,0,31,0
5/25/2020,North Macedonia,Alpha,0,1,0
5/25/2020,Norway,Alpha,0,18,0
5/25/2020,Oman,Alpha,0,55,0
5/25/2020,Pakistan,Alpha,0,10,0
5/25/2020,Paraguay,Alpha,0,2,0
5/25/2020,Peru,Alpha,0,50,0
5/25/2020,Poland,Alpha,0,26,0
5/25/2020,Portugal,Alpha,0,28,0
5/25/2020,Qatar,Alpha,0,175,0
5/25/2020,Romania,Alpha,0,18,0
5/25/2020,Russia,Alpha,0,122,0
5/25/2020,Serbia,Alpha,0,8,0
5/25/2020,Singapore,Alpha,0,72,0
5/25/2020,Slovakia,Alpha,0,1,0
5/25/2020,South Africa,Alpha,0,93,0
5/25/2020,South Korea,Alpha,0,64,0
5/25/2020,Spain,Alpha,0,95,0
5/25/2020,Sweden,Alpha,0,81,0
5/25/2020,Switzerland,Alpha,0,23,0
5/25/2020,Togo,Alpha,0,3,0
5/25/2020,Turkey,Alpha,0,74,0
